approved_bal,sex,education,marriage,age,status,balance,payment,utilization,default
160000,1,2,2,33,0,130028,4400,0.812675,0
360000,2,1,1,45,0,390,1170,0.0010833333333333333,1
160000,2,2,2,32,0,3826,1147,0.0239125,0
130000,2,1,1,35,0,81313,40000,0.6254846153846154,0
20000,1,3,2,44,2,8583,0,0.42915,0
200000,1,1,1,53,2,138180,6300,0.6909,1
280000,2,1,2,39,0,7524,0,0.02687142857142857,0
100000,2,1,2,27,0,-2000,7555,-0.02,0
160000,2,2,1,37,0,880,1602,0.0055,0
60000,2,2,2,23,0,45648,1937,0.7608,0
90000,1,2,2,35,0,83725,3621,0.9302777777777778,0
360000,1,1,1,43,0,3967,8339,0.011019444444444445,0
150000,1,1,2,27,0,86009,4031,0.5733933333333333,0
50000,2,3,1,22,0,18722,1411,0.37444,0
20000,1,2,1,38,0,17973,1699,0.89865,1
140000,1,1,2,32,0,672,10212,0.0048,0
380000,2,1,2,30,0,-81,223,-0.0002131578947368421,0
480000,1,1,1,63,0,422069,16078,0.8793104166666666,0
50000,2,3,2,22,0,44698,1767,0.89396,1
60000,2,2,2,26,2,56685,0,0.94475,0
70000,2,2,2,24,0,5580,0,0.07971428571428571,0
80000,2,2,1,36,0,6108,2861,0.07635,0
350000,1,1,2,52,0,713,2272,0.002037142857142857,0
130000,1,2,2,38,0,171438,10908,1.3187538461538462,0
360000,1,2,1,35,1,-103,0,-0.0002861111111111111,0
330000,2,1,1,31,0,105879,9260,0.32084545454545454,0
50000,1,3,1,47,0,13244,2000,0.26488,0
280000,1,2,1,41,2,135673,6500,0.48454642857142854,0
100000,2,1,2,24,0,52128,2000,0.52128,0
50000,1,2,2,41,0,19015,1340,0.3803,0
30000,1,1,2,24,0,18199,0,0.6066333333333334,1
240000,1,1,2,28,0,326,326,0.0013583333333333334,0
80000,1,2,2,26,2,14029,2000,0.1753625,1
400000,1,2,1,34,0,19660,9677,0.04915,0
240000,2,2,2,38,0,50254,2000,0.20939166666666667,0
50000,1,3,2,37,2,46004,1000,0.92008,1
450000,1,1,1,40,1,0,0,0.0,1
110000,2,1,1,48,1,0,0,0.0,0
310000,2,2,1,35,2,304991,13019,0.983841935483871,1
20000,1,1,2,27,0,19115,1404,0.95575,0
20000,1,2,2,23,1,0,0,0.0,0
200000,1,3,2,52,0,110151,3568,0.550755,0
180000,1,1,1,36,0,163736,4655,0.9096444444444445,1
50000,1,2,1,51,0,3347,1000,0.06694,1
60000,1,3,1,55,3,60521,2504,1.0086833333333334,0
30000,2,1,2,23,1,4000,5645,0.13333333333333333,0
240000,1,1,2,41,1,95,2622,0.0003958333333333333,0
420000,1,2,1,34,0,253454,9744,0.6034619047619048,0
330000,1,3,1,46,0,227389,8210,0.6890575757575758,0
30000,2,2,2,22,0,28452,2000,0.9484,0
240000,1,2,1,34,0,10674,1500,0.044475,0
150000,1,1,2,27,0,17444,2500,0.11629333333333333,0
210000,2,2,1,33,0,7166,1500,0.03412380952380952,0
50000,2,3,1,51,0,752,300,0.01504,1
50000,1,1,2,24,0,50801,2360,1.01602,0
240000,1,1,2,47,1,0,0,0.0,1
180000,1,2,2,28,0,1832,0,0.010177777777777779,0
50000,1,2,2,23,1,10131,1000,0.20262,0
170000,1,2,2,29,0,12159,10000,0.07152352941176471,0
20000,1,1,2,29,0,1199,15586,0.05995,0
50000,1,1,2,28,0,4999,1000,0.09998,0
170000,2,2,2,27,0,19269,1661,0.11334705882352941,1
200000,1,1,2,34,1,197236,8000,0.98618,0
80000,2,2,1,23,1,9168,1650,0.1146,0
260000,2,1,1,60,1,-1100,0,-0.004230769230769231,0
140000,1,2,1,32,0,86627,3455,0.6187642857142858,0
80000,1,1,2,25,0,42444,30000,0.53055,0
350000,1,1,2,41,1,208,2906,0.0005942857142857143,0
280000,2,2,1,56,0,208775,8042,0.745625,0
30000,2,3,2,26,0,9014,1700,0.30046666666666666,0
140000,1,1,1,34,0,23944,5000,0.17102857142857142,0
200000,2,1,2,37,0,105420,4000,0.5271,0
200000,2,3,2,30,0,196031,7300,0.980155,0
210000,1,3,1,45,2,115785,10478,0.5513571428571429,1
50000,1,3,1,57,3,12854,0,0.25708,0
30000,1,1,2,41,2,24357,3500,0.8119,0
50000,1,2,2,27,2,390,390,0.0078,0
290000,1,3,1,47,0,1234,396,0.004255172413793104,0
250000,2,1,1,34,0,141223,17994,0.564892,0
60000,2,2,1,46,0,21148,3000,0.35246666666666665,0
110000,2,1,2,27,0,101640,5500,0.924,0
370000,1,1,2,50,0,6093,15383,0.016467567567567568,0
100000,1,2,1,27,0,102349,3166,1.02349,0
90000,2,2,1,35,0,72112,3500,0.8012444444444444,0
50000,2,2,2,22,0,28040,1510,0.5608,0
270000,1,2,2,37,0,37695,5000,0.1396111111111111,0
300000,2,1,2,30,0,688,3288,0.0022933333333333334,0
50000,2,2,2,22,0,8567,15000,0.17134,0
50000,2,1,2,24,1,-709,0,-0.01418,1
360000,1,1,2,29,1,0,0,0.0,0
130000,1,3,1,56,1,64617,3000,0.4970538461538462,1
80000,1,1,2,30,0,6187,504,0.0773375,0
50000,1,2,2,30,1,48860,0,0.9772,0
20000,2,2,2,22,0,16001,1212,0.80005,0
80000,2,2,1,29,0,77883,5800,0.9735375,0
240000,1,1,2,37,0,12212,15000,0.050883333333333336,0
80000,2,3,2,35,0,49608,12500,0.6201,0
500000,2,1,1,47,0,56422,70010,0.112844,0
60000,2,2,1,24,0,58024,2500,0.9670666666666666,1
20000,1,2,2,25,0,10642,1200,0.5321,0
100000,2,2,1,38,1,14483,0,0.14483,1
360000,2,1,2,32,1,2616,57087,0.007266666666666667,0
200000,2,3,2,47,2,199436,8214,0.99718,1
20000,2,2,2,31,1,21703,0,1.08515,0
310000,1,1,2,32,0,59901,10020,0.1932290322580645,0
60000,2,1,2,27,2,19625,1342,0.32708333333333334,1
180000,2,1,2,29,0,11386,199,0.06325555555555555,0
180000,2,1,2,24,0,14670,37867,0.0815,0
50000,1,2,1,36,0,47790,2000,0.9558,0
50000,2,1,2,24,1,36166,1900,0.72332,1
150000,2,2,1,34,0,0,0,0.0,0
20000,2,1,2,22,0,18553,1500,0.92765,0
500000,2,1,1,34,0,412,138,0.000824,0
30000,2,3,2,22,1,29010,1000,0.967,1
180000,2,1,1,38,0,750,0,0.004166666666666667,0
140000,1,1,2,31,0,27123,25000,0.1937357142857143,0
140000,2,1,2,26,0,13424,10000,0.09588571428571428,0
120000,1,2,2,26,0,107314,5000,0.8942833333333333,0
360000,2,2,1,48,0,226430,9100,0.6289722222222223,0
20000,1,3,1,43,0,227,22359,0.01135,0
100000,1,1,1,47,0,390,1473,0.0039,0
210000,2,2,1,41,0,3088,1586,0.014704761904761905,1
80000,2,2,2,24,0,81625,3200,1.0203125,1
330000,2,1,1,50,0,8872,4345,0.026884848484848484,0
220000,1,1,2,24,0,105607,5000,0.48003181818181817,0
210000,2,1,1,38,1,0,0,0.0,1
40000,2,3,1,43,0,38257,1700,0.956425,0
30000,1,2,2,39,0,28347,3036,0.9449,0
470000,1,2,2,27,2,296573,13000,0.6310063829787234,0
30000,1,3,1,42,0,390,390,0.013,0
240000,2,2,1,36,1,-946,0,-0.003941666666666666,1
80000,1,2,2,36,2,79278,3100,0.990975,0
110000,2,3,3,31,0,89989,4000,0.8180818181818181,0
310000,2,1,2,38,0,1424,4542,0.004593548387096774,0
360000,2,1,1,40,2,105167,12000,0.29213055555555556,1
330000,2,3,2,45,0,335196,12388,1.0157454545454545,0
300000,2,2,2,35,0,291619,12019,0.9720633333333333,0
320000,2,2,2,33,0,91653,10042,0.286415625,0
50000,2,3,2,37,1,52626,0,1.05252,1
170000,2,1,2,28,0,130370,6530,0.7668823529411765,0
350000,1,3,1,44,0,3265,2686,0.009328571428571429,0
20000,1,2,1,37,0,16455,1609,0.82275,0
50000,1,2,2,23,2,49758,2401,0.99516,1
20000,2,3,2,24,1,19154,0,0.9577,0
50000,2,1,2,24,0,35084,2090,0.70168,0
20000,1,2,2,23,1,20235,0,1.01175,1
50000,1,2,1,26,0,102800,0,2.056,0
190000,1,2,2,34,2,129801,5000,0.6831631578947368,1
60000,2,2,1,33,0,58203,1506,0.97005,0
80000,1,1,2,35,0,7988,3983,0.09985,0
150000,2,2,2,27,0,127402,4500,0.8493466666666667,0
210000,2,1,2,31,0,1440,0,0.006857142857142857,0
240000,2,3,1,50,0,234205,10116,0.9758541666666667,1
140000,2,2,3,41,0,19346,3000,0.13818571428571427,1
60000,2,1,2,28,1,21501,0,0.35835,0
50000,1,1,2,39,0,47174,1800,0.94348,0
50000,2,2,2,27,0,26655,1800,0.5331,0
180000,2,1,2,32,0,3139,2821,0.01743888888888889,0
30000,2,1,2,40,0,142,355,0.004733333333333333,0
20000,2,2,2,40,0,19816,1601,0.9908,0
250000,2,2,1,75,0,52874,1631,0.211496,0
100000,2,2,2,27,0,37767,1788,0.37767,0
330000,1,1,2,25,0,46140,2504,0.1398181818181818,0
50000,1,3,1,46,0,35713,1561,0.71426,0
50000,2,2,2,26,1,50867,1710,1.01734,0
30000,1,2,2,28,0,29242,5006,0.9747333333333333,0
140000,2,2,2,26,0,101551,5366,0.7253642857142857,1
160000,2,1,2,28,0,70243,7042,0.43901875,0
400000,2,2,2,29,0,19532,3127,0.04883,0
50000,1,2,1,25,0,27699,1565,0.55398,0
140000,2,2,1,48,0,1154,1233,0.008242857142857142,0
160000,2,2,1,33,0,8015,2453,0.05009375,0
100000,2,3,1,43,0,62170,0,0.6217,0
220000,1,1,1,48,2,210380,10000,0.9562727272727273,1
510000,2,1,2,29,0,78331,40010,0.15359019607843138,0
50000,1,2,2,29,0,49276,1602,0.98552,0
160000,2,1,1,38,0,4473,4664,0.02795625,0
230000,2,1,2,37,0,2283,51315,0.00992608695652174,0
80000,2,1,2,37,0,10115,258,0.1264375,0
150000,2,2,1,25,0,6156,0,0.04104,0
10000,1,3,2,23,0,6974,1134,0.6974,0
130000,2,3,2,49,0,89003,4100,0.6846384615384615,1
40000,2,1,2,48,0,34871,1600,0.871775,0
50000,1,2,2,27,3,13694,1700,0.27388,1
100000,1,3,2,32,0,70003,2035,0.70003,0
120000,1,1,1,34,0,1082,0,0.009016666666666666,0
260000,2,1,2,58,1,0,0,0.0,1
200000,2,2,2,33,0,11253,2000,0.056265,0
70000,2,2,2,36,0,68699,4483,0.9814142857142857,0
460000,1,1,1,40,2,171,2728,0.0003717391304347826,1
50000,2,1,2,26,0,1156,316,0.02312,0
50000,1,3,1,33,0,50859,2007,1.01718,0
250000,2,2,1,31,0,103109,4000,0.412436,0
30000,2,1,2,27,0,1512,1000,0.0504,0
270000,1,2,1,44,0,127543,10063,0.47238148148148146,0
180000,2,3,2,30,0,163935,7722,0.91075,0
100000,2,1,2,28,0,53494,4173,0.53494,0
230000,2,3,1,32,0,195126,5000,0.8483739130434783,0
210000,2,1,1,46,0,110346,41986,0.5254571428571428,0
210000,1,1,2,38,2,60502,3276,0.2881047619047619,0
440000,2,2,1,46,0,180641,8610,0.41054772727272726,0
100000,2,2,2,25,2,70896,3472,0.70896,1
240000,2,2,1,46,0,8751,1295,0.0364625,0
280000,1,1,2,33,0,898,898,0.003207142857142857,1
50000,2,2,2,22,1,0,0,0.0,1
30000,1,2,1,43,3,1700,1100,0.056666666666666664,0
10000,1,2,2,27,0,7015,3507,0.7015,1
130000,1,1,2,29,1,0,0,0.0,0
200000,1,1,2,31,0,194353,9000,0.971765,0
120000,2,2,1,29,0,1686,657,0.01405,0
210000,2,2,1,36,0,143225,6483,0.6820238095238095,0
280000,2,1,1,36,0,58983,2755,0.21065357142857144,0
300000,1,1,2,34,1,0,0,0.0,1
100000,1,2,2,37,0,99209,3490,0.99209,0
440000,2,1,2,36,0,0,0,0.0,0
50000,2,3,1,40,0,49941,2400,0.99882,0
20000,2,1,2,25,0,11968,2800,0.5984,1
200000,2,1,2,27,0,871,665,0.004355,0
110000,2,2,2,26,0,432,3220,0.003927272727272727,0
500000,2,2,1,36,0,10483,23962,0.020966,0
30000,1,3,1,55,2,9720,1200,0.324,1
60000,2,1,2,27,0,20847,13809,0.34745,0
400000,2,2,1,38,0,3697,1000,0.0092425,0
180000,2,2,1,34,0,143301,7000,0.7961166666666667,0
20000,1,1,2,40,0,10934,3000,0.5467,0
200000,2,3,1,49,0,52439,0,0.262195,1
100000,1,1,2,27,0,55734,1631,0.55734,0
60000,1,2,2,23,0,49507,1970,0.8251166666666667,1
110000,2,2,2,36,0,47819,2200,0.43471818181818184,0
50000,2,3,1,46,3,48522,3754,0.97044,0
180000,1,2,2,29,1,-2,0,-1.1111111111111112e-05,0
110000,1,2,2,29,1,58362,2500,0.5305636363636363,1
340000,2,1,2,27,0,172180,21105,0.5064117647058823,0
50000,1,2,2,24,0,1399,1070,0.02798,0
230000,2,2,1,28,0,26361,1710,0.11461304347826087,1
360000,2,2,2,32,0,93029,10000,0.2584138888888889,0
210000,1,2,2,43,1,0,0,0.0,0
220000,2,2,1,41,0,650,325,0.0029545454545454545,1
60000,2,2,1,34,2,24898,3800,0.41496666666666665,1
340000,1,2,1,55,0,50396,44665,0.1482235294117647,0
150000,1,1,1,40,2,99855,5200,0.6657,0
200000,2,2,1,37,1,-179,1000,-0.000895,1
130000,2,2,2,40,0,9559,3000,0.07353076923076923,1
60000,2,1,2,28,1,10540,0,0.17566666666666667,0
400000,2,2,1,43,1,0,0,0.0,0
20000,1,1,2,27,0,20571,1323,1.02855,0
190000,2,1,2,28,0,143464,5795,0.7550736842105263,0
260000,2,1,2,30,0,156882,10000,0.6033923076923077,0
140000,2,2,2,31,0,390,0,0.002785714285714286,0
50000,2,2,1,31,0,46512,1974,0.93024,1
120000,2,1,2,34,0,882,6900,0.00735,0
240000,2,2,2,30,0,92,92,0.00038333333333333334,0
50000,1,2,2,36,0,5916,1212,0.11832,0
200000,2,1,2,29,0,2393,0,0.011965,0
180000,1,1,1,39,0,274731,11000,1.5262833333333334,0
180000,2,1,2,26,0,145403,5440,0.8077944444444445,0
160000,2,1,2,29,0,3097,0,0.01935625,0
100000,2,2,2,26,0,1370,4210,0.0137,0
50000,2,2,2,29,0,47081,3000,0.94162,1
140000,2,2,2,31,0,138119,6600,0.9865642857142857,0
30000,2,2,2,26,0,17893,1411,0.5964333333333334,1
90000,1,1,2,26,0,39128,1541,0.43475555555555556,0
200000,1,1,1,36,1,-14386,10118,-0.07193,0
380000,1,1,2,30,1,0,0,0.0,1
80000,2,2,2,43,0,77057,3177,0.9632125,0
50000,1,3,1,58,2,15899,3400,0.31798,0
180000,1,2,1,45,0,27679,1481,0.15377222222222223,1
240000,2,2,2,26,0,141315,6349,0.5888125,0
380000,1,2,2,34,0,194314,9010,0.5113526315789474,0
260000,1,1,1,34,0,49657,291,0.19098846153846155,0
500000,2,2,2,23,4,507726,10000,1.015452,1
320000,2,2,2,30,0,71305,2589,0.222828125,0
50000,1,2,2,32,4,45734,0,0.91468,0
110000,1,1,1,40,1,0,0,0.0,1
230000,2,1,2,35,0,761,300,0.003308695652173913,0
330000,2,2,1,56,1,-9,1529,-2.7272727272727273e-05,0
50000,2,2,1,61,0,47166,3000,0.94332,0
10000,1,2,2,24,0,2887,0,0.2887,0
300000,1,1,1,40,1,0,0,0.0,0
20000,2,2,1,32,3,20631,0,1.03155,1
180000,1,2,1,36,2,83538,0,0.4641,1
160000,1,1,2,30,0,99,2977,0.00061875,0
90000,2,1,2,34,0,34302,1640,0.3811333333333333,0
30000,1,3,3,54,0,22987,2500,0.7662333333333333,0
180000,1,1,1,46,0,173267,8100,0.9625944444444444,0
30000,1,3,1,58,0,19143,1640,0.6381,0
30000,1,2,1,43,1,20518,0,0.6839333333333333,0
140000,2,1,2,28,0,10833,14000,0.07737857142857144,0
210000,1,1,2,30,0,69937,3500,0.33303333333333335,0
50000,1,2,2,31,0,20526,2000,0.41052,1
130000,2,2,2,29,0,89055,4200,0.6850384615384615,0
50000,2,2,1,37,2,1894,1500,0.03788,1
140000,1,3,1,36,0,100594,3000,0.7185285714285714,0
170000,2,2,2,28,0,2948,1105,0.017341176470588235,1
80000,1,2,2,25,0,22619,10010,0.2827375,0
80000,1,3,1,73,0,63144,3500,0.7893,1
150000,1,2,1,43,0,153249,7900,1.02166,0
260000,1,1,1,30,0,1131,291,0.00435,1
350000,1,1,1,38,1,0,0,0.0,0
280000,2,2,1,39,1,-1312,38621,-0.004685714285714286,1
310000,1,2,1,44,0,103797,4400,0.33482903225806454,0
140000,2,2,2,29,0,20110,3000,0.14364285714285716,0
360000,1,1,1,51,0,38000,25000,0.10555555555555556,0
140000,2,1,2,27,0,142428,10000,1.017342857142857,0
100000,1,1,2,38,0,40810,2502,0.4081,0
50000,2,2,2,22,0,0,0,0.0,0
210000,2,2,1,30,0,104701,4002,0.49857619047619045,0
120000,2,2,2,25,2,120298,4007,1.0024833333333334,0
240000,1,1,2,29,0,156362,5233,0.6515083333333334,0
60000,2,3,3,42,0,41322,1488,0.6887,0
150000,1,1,2,41,0,1464,2091,0.00976,1
30000,1,2,1,48,0,27879,1774,0.9293,0
160000,2,1,2,29,2,160432,7500,1.0027,1
200000,1,1,1,52,0,3858,2690,0.01929,0
120000,2,2,1,25,0,26476,6000,0.22063333333333332,0
500000,1,1,1,37,1,507062,325,1.014124,0
320000,2,1,2,27,0,55607,11404,0.173771875,0
280000,1,1,2,31,0,168382,10000,0.6013642857142857,0
60000,2,1,2,23,1,29332,0,0.48886666666666667,1
200000,2,1,1,38,0,190,0,0.00095,0
230000,2,1,1,32,1,0,0,0.0,0
230000,2,2,2,27,1,13668,0,0.05942608695652174,1
480000,2,3,1,41,0,14867,26734,0.030972916666666666,0
50000,2,3,1,35,0,22500,5000,0.45,0
200000,2,1,2,31,0,7184,17507,0.03592,0
50000,2,1,2,30,0,14811,2000,0.29622,0
50000,1,2,1,48,0,44338,3629,0.88676,0
260000,2,1,2,36,1,0,0,0.0,1
30000,1,1,2,24,2,25265,1500,0.8421666666666666,0
440000,2,1,2,29,0,169661,8071,0.3855931818181818,0
230000,2,2,2,38,0,10237,2795,0.04450869565217391,0
200000,1,2,1,38,2,104978,4500,0.52489,1
490000,2,2,1,30,0,192586,10000,0.3930326530612245,0
80000,2,2,1,32,0,11262,0,0.140775,0
20000,2,3,2,49,2,9551,3000,0.47755,1
170000,2,1,2,31,0,199,199,0.0011705882352941177,1
70000,1,1,2,27,0,70119,3600,1.0017,0
210000,2,2,2,33,0,212601,6000,1.0123857142857142,0
90000,2,2,2,25,0,91894,3200,1.0210444444444444,0
390000,2,1,2,27,0,304867,13007,0.7817102564102564,1
110000,2,1,2,29,0,48123,2500,0.4374818181818182,0
580000,2,1,1,36,0,159760,6422,0.275448275862069,0
360000,1,3,1,55,0,9210,6015,0.025583333333333333,0
270000,2,2,1,32,1,234752,10000,0.8694518518518518,1
60000,2,1,2,27,0,14072,0,0.23453333333333334,0
110000,1,3,1,37,0,61807,2300,0.5618818181818181,0
50000,2,1,1,25,0,51044,2500,1.02088,0
80000,2,1,2,23,0,77024,3212,0.9628,1
50000,1,2,2,23,0,350,350,0.007,0
100000,1,1,2,32,0,83831,4000,0.83831,0
30000,2,1,2,26,1,0,0,0.0,0
200000,2,1,2,27,0,122923,5704,0.614615,0
240000,1,1,2,44,0,246135,12026,1.0255625,1
220000,1,2,2,34,0,37304,1600,0.16956363636363636,0
160000,2,1,2,28,0,146433,4500,0.91520625,0
180000,2,1,1,53,0,46122,1260,0.2562333333333333,0
140000,2,3,1,30,0,96304,4505,0.6878857142857143,0
380000,1,1,1,51,1,0,0,0.0,1
600000,1,1,1,53,2,467150,0,0.7785833333333333,1
260000,1,2,2,37,0,255691,14000,0.983426923076923,0
200000,2,1,2,26,0,156786,179,0.78393,0
80000,1,2,2,42,0,78129,2500,0.9766125,0
40000,1,2,2,39,0,40034,2027,1.00085,0
130000,1,3,2,39,1,71034,0,0.5464153846153846,0
50000,1,1,2,32,0,23974,1800,0.47948,0
230000,2,2,1,41,0,819,18163,0.0035608695652173915,0
70000,1,2,1,48,0,50927,2100,0.7275285714285714,1
180000,2,2,1,38,0,152510,5657,0.8472777777777778,0
80000,2,2,1,36,0,1689,8638,0.0211125,0
290000,2,2,2,26,0,20807,80000,0.07174827586206897,0
230000,2,1,2,28,0,30141,120093,0.13104782608695653,0
170000,2,3,3,56,1,0,0,0.0,0
230000,1,1,1,59,0,208459,7536,0.9063434782608696,1
220000,1,1,2,38,0,212795,8909,0.96725,1
230000,1,2,2,32,0,28114,1610,0.12223478260869565,0
500000,1,2,1,38,0,59372,10026,0.118744,0
90000,2,1,1,41,0,6160,3276,0.06844444444444445,0
390000,2,3,2,35,0,355215,13802,0.9108076923076923,1
400000,2,2,2,41,0,366193,14020,0.9154825,0
180000,1,2,1,34,0,2927,2790,0.01626111111111111,0
60000,1,3,1,38,1,29295,1800,0.48825,0
120000,2,2,1,32,0,4158,2682,0.03465,0
60000,2,2,2,29,0,27199,1900,0.45331666666666665,0
50000,1,1,2,44,0,50893,1800,1.01786,0
70000,2,2,1,37,0,66759,2518,0.9537,0
500000,2,1,1,38,0,600,0,0.0012,0
200000,1,1,2,31,0,0,0,0.0,0
250000,2,2,1,40,0,44930,120041,0.17972,0
140000,1,2,2,26,0,131367,17000,0.9383357142857143,1
70000,2,2,2,28,0,41264,2112,0.5894857142857143,0
90000,1,3,1,48,1,77604,1700,0.8622666666666666,0
100000,2,2,1,43,0,2491,1709,0.02491,0
190000,1,2,1,31,0,177554,7600,0.9344947368421053,0
230000,2,1,1,42,0,6865,15111,0.029847826086956523,0
320000,1,2,1,39,0,93768,3317,0.293025,0
220000,2,2,1,36,0,396,1648,0.0018,1
260000,2,1,1,34,0,16426,6277,0.06317692307692307,0
90000,2,2,2,32,0,573,157,0.006366666666666666,0
30000,2,2,1,43,2,28703,1300,0.9567666666666667,0
260000,1,2,2,30,0,98560,4000,0.3790769230769231,0
170000,2,2,2,28,0,28304,4000,0.16649411764705882,0
80000,2,1,1,28,0,8574,1203,0.107175,1
50000,1,1,1,41,0,508,1000,0.01016,0
200000,2,3,2,47,0,203183,7521,1.015915,0
20000,1,2,2,23,0,16440,7403,0.822,0
250000,2,1,1,49,0,66,0,0.000264,0
20000,1,1,1,38,0,15912,1623,0.7956,0
30000,2,2,1,38,0,20344,2000,0.6781333333333334,0
90000,2,2,1,35,1,23132,0,0.2570222222222222,0
130000,2,1,1,33,0,19161,2000,0.14739230769230768,1
160000,1,1,2,35,0,396,396,0.002475,0
500000,2,2,2,43,0,3959,0,0.007918,0
180000,2,2,2,28,0,42238,2500,0.23465555555555556,0
80000,2,2,1,30,0,21507,1700,0.2688375,0
120000,1,1,2,26,0,884,0,0.007366666666666666,0
130000,1,2,1,31,0,1261,1261,0.0097,0
120000,2,2,2,35,0,240,240,0.002,1
360000,1,1,2,28,0,20223,53228,0.056175,0
50000,1,2,2,23,2,29509,2000,0.59018,1
20000,2,2,2,23,0,18355,2900,0.91775,0
100000,1,3,1,56,0,94265,2385,0.94265,0
70000,1,3,1,32,0,68739,3060,0.9819857142857142,0
50000,1,2,1,47,0,13917,3000,0.27834,0
10000,2,2,2,22,1,10250,0,1.025,0
290000,2,1,1,34,0,93844,6000,0.3236,0
30000,2,1,1,31,0,16496,1597,0.5498666666666666,0
410000,2,2,2,27,1,-58,33049,-0.00014146341463414634,0
